Manufacturer,Model,Price,Transmission,Power,EngineCC,Fuel,Male,Female,Total
Ford,Focus,30.61932203,5.966101695,94.03389831,1497.169492,petrol,814172,422731,1293390
Ford,Fiesta,18.53214286,5.714285714,68.57142857,1166.142857,petrol,554879,631666,1240602
Volkswagen,Golf,31.24215385,6.164835165,89.46153846,1537.406593,petrol,483216,310604,841383
Renault,Clio,22.1,5.615384615,75.57692308,1219.653846,petrol,241287,312556,581847
BMW,320i,47.84837037,6.444444444,126.1111111,1995.777778,petrol,408016,115843,552984
Volkswagen,Polo,18.1925,5.074074074,60.96296296,1408.055556,petrol,216333,299110,547144
Peugeot,206,20.03375,4.833333333,71.33333333,1631.5,petrol,178698,250614,455447
Ford,Mondeo,39.97375,1.75,130.25,1998.5,petrol,357452,"69,603",443605
Nissan,Micra,20.3776087,4.869565217,67.95652174,1279.695652,petrol,143218,253000,422837
Honda,Civic,29.942625,4.5,106.225,1480.575,petrol,242188,132958,396188
Ford,Ka+,15.46,5,60.8,1196,petrol,102708,269428,392460
Renault,Megane,26.4498867,5.408866995,87.31034483,1623.793103,petrol,209379,156607,387035
Toyota,Yaris,20.7206,3.52,74.4,1397.8,petrol,137907,214944,380521
Mercedes,CLA,46.5274,7.04,131.6,1596.92,petrol,209476,"69,373",296091
Audi,A4,57.92693548,6.161290323,149.7096774,2283.112903,petrol,202037,"59,936",275602
Volkswagen,Passat,46.06451282,6.487179487,125.4358974,1835.846154,petrol,211510,"48,599",274614
Honda,Jazz,26.3525,0,80,1498,petrol,105551,136875,258124
Audi,A3,36.21929825,6.473684211,94.33333333,1424.666667,petrol,144962,"97,033",256455
Peugeot,307,27.46483636,4.872727273,86.45454545,1723,petrol,132728,108991,256114
Peugeot,207,21.70216667,4.9,79.76666667,1536,petrol,"99,472",138839,251753
Citroen,Xsara,22.36209302,4.88372093,72.58139535,1743.44186,petrol,145377,"87,029",243925
Skoda,Fabia,19.00794118,5.205882353,66.97058824,1292.352941,petrol,109408,"87,532",207716
BMW,118i,37.4265,6.2,104.2,1796.6,petrol,103719,"87,660",203185
Land-Rover,Freelander,43.86363077,5.292307692,105.1692308,2083.523077,diesel,118279,"59,369",187569
Citroen,C3,22.90364865,5.405405405,75.64864865,1364,petrol,"78,551","98,254",186698
Toyota,Corolla,27.23911864,3.033898305,91.61016949,1677.949153,petrol,104996,"67,184",184222
BMW,535i,93.71425,8,225,2979,petrol,138584,"21,302",169329
Toyota,Avensis,37.31523077,4.323076923,103.6769231,1873.261538,petrol,123806,"29,728",163108
Mercedes,E,78.07322727,7.672727273,192.4,2598.818182,petrol,125070,"24,029",158564
Renault,Scenic,32.06304348,5.956521739,89.34782609,1472.826087,diesel,"85,989","62,467",156802
Seat,Ibiza,19.93814035,5.649122807,76.31578947,1205.192982,petrol,"74,717","73,895",154894
Land-Rover,Discovery,107.4521429,8,182.5714286,2425.428571,diesel,112207,"29,981",148576
Land-Rover,Range,107.6705126,8.277310924,196.3361345,2521.092437,diesel,107520,"34,079",148446
Nissan,Qashqai+2,34.93603125,5.25,97.71875,1820.65625,diesel,"79,290","56,539",144659
Skoda,Octavia,30.65053846,6.346153846,95,1136.692308,petrol,110428,"25,662",142237
Fiat,500L,26.29166667,5.6,74.73333333,1186.333333,diesel,"30,349",102113,140639
